Ticker,Name,Sub_Industry_Orig,Sub_Industry,Industry,Industry_Group,Sector,Market_Cap
NHI,"National Health Investors, Inc.",REIT - Healthcare Facilities,Health Care REITs,Health Care REITs,Equity Real Estate Investment Trusts,Real Estate,3.41B
NHIC,NewHold Investment Corp III,Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,267.50M
NHTC,Natural Health Trends Corp.,Internet Retail,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,57.31M
NI,NiSource Inc.,Utilities - Regulated Gas,Gas Utilities,Gas Utilities,Utilities,Utilities,18.31B
NIC,"Nicolet Bankshares, Inc.",Banks - Regional,Regional Banks,Banks,Banks,Financials,1.61B
NICE,NICE Ltd.,Software - Application,Application Software,Software,Software & Services,Information Technology,9.97B
NINE,"Nine Energy Service, Inc.",Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,Energy Equipment & Services,Energy,Energy,30.50M
NIO,NIO Inc.,Auto Manufacturers,Automobile Manufacturers,Automobiles,Automobiles & Components,Consumer Discretionary,7.90B
NIPG,NIP Group Inc.,Entertainment,Movies & Entertainment,Entertainment,Media & Entertainment,Communication Services,89.98M
NISN,"Nisun International Enterprise Development Group Co., Ltd",Specialty Business Services,Semiconductor Materials & Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,24.56M
NITO,"N2OFF, Inc.",Agricultural Inputs,Agricultural Products & Services,Food Products,"Food, Beverage & Tobacco",Consumer Staples,3.84M
NIU,Niu Technologies,Auto Manufacturers,Automobile Manufacturers,Automobiles,Automobiles & Components,Consumer Discretionary,223.48M
NIVF,NewGenIvf Group Limited,Medical Care Facilities,Marine Transportation,Marine Transportation,Transportation,Industrials,570.70K
NIXX,"Nixxy, Inc.",Staffing & Employment Services,Human Resource & Employment Services,Professional Services,Commercial  & Professional Services,Industrials,25.56M
NJR,New Jersey Resources Corporation,Utilities - Regulated Gas,Gas Utilities,Gas Utilities,Utilities,Utilities,4.99B
NKE,"NIKE, Inc.",Footwear & Accessories,Footwear,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,Consumer Discretionary,79.07B
NKSH,"National Bankshares, Inc.",Banks - Regional,Regional Banks,Banks,Banks,Financials,158.39M
NKTR,Nektar Therapeutics,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,112.35M
NKTX,"Nkarta, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,124.18M
NL,"NL Industries, Inc.",Security & Protection Services,Security & Alarm Services,Commercial Services & Supplies,Commercial  & Professional Services,Industrials,375.15M
NLOP,Net Lease Office Properties,REIT - Office,Office REITs,Office REITs,Equity Real Estate Investment Trusts,Real Estate,419.24M
NLSP,NLS Pharmaceutics AG,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,2.30M
NLY,"Annaly Capital Management, Inc.",REIT - Mortgage,Mortgage REITs,"Mortgage Real Estate Investment
Trusts",Financial Services,Financials,10.20B
NMAX,Newsmax Inc.,Broadcasting,Broadcasting,Media,Media & Entertainment,Communication Services,3.60B
NMFC,New Mountain Finance Corporation,Asset Management,Asset Management & Custody Banks,Capital Markets,Financial Services,Financials,1.02B
NMG,Nouveau Monde Graphite Inc.,Other Industrial Metals & Mining,Diversified Metals & Mining,Metals & Mining,Materials,Materials,251.18M
NMIH,"NMI Holdings, Inc.",Insurance - Specialty,Life & Health Insurance,Insurance,Insurance,Financials,2.62B
NMM,Navios Maritime Partners L.P.,Marine Shipping,Marine Transportation,Marine Transportation,Transportation,Industrials,977.66M
NMR,"Nomura Holdings, Inc.",Capital Markets,Diversified Capital Markets,Capital Markets,Financial Services,Financials,15.94B
